ID,Class
750,Blankenship
751,Hayes
752,Goonan
753,Dent
754,Engineer
755,Johnson
756,Morrison
757,Harp
758,Shea
759,Shea
760,Chachra
761,Merritt
762,CFH
763,Walters
764,Hayes
765,Chachra
766,Ashbacher
767,Mahlers2nd
768,Walters
769,CFH
770,Calvinnme
771,Auken
772,Wilson
773,Vision
774,Lee
775,Agresti
776,Cutey
777,Lee
778,Koenig
779,Corn
780,Cholette
781,Agresti
782,Chachra
783,Robert
784,Hayes
785,CFH
786,Johnson
787,Harp
788,Shea
789,Chachra
790,Riley
791,Chachra
792,Morrison
793,Ashbacher
794,CFH
795,Auken
796,Riley
797,Chandler
798,Grove
799,Chachra
800,Neal
801,Vision
802,Chachra
803,Robert
804,Chachra
805,Bukowsky
806,Chandler
807,Davisson
808,Agresti
809,Engineer
810,Blankenship
811,Goonan
812,Vision
813,Sherwin
814,Johnson
815,Vernon
816,Calvinnme
817,Peterson
818,Mahlers2nd
819,Taylor
820,Ashbacher
821,Harp
822,Mark
823,Blankenship
824,Auken
825,Chachra
826,Kolln
827,Riley
828,Calvinnme
829,Auken
830,Mahlers2nd
831,Kolln
832,Blankenship
833,Brown
834,Sherwin
835,Engineer
836,Shea
837,Auken
838,Dent
839,Chandler
840,Shea
841,Chandler
842,Peterson
843,Taylor
844,Mahlers2nd
845,Riley
846,CFH
847,Peterson
848,Nigam
849,Lee
850,Brown
851,Kolln
852,Dent
853,Messick
854,Lovitt
855,Cholette
856,Johnson
857,Ashbacher
858,Chachra
859,Cholette
860,Merritt
861,Davisson
862,Taylor
863,Messick
864,Mitchell
865,Lawyeraau
866,Chachra
867,Robert
868,Messick
869,Agresti
870,Chachra
871,Harp
872,Corn
873,Chandler
874,Chell
875,Power
876,Ashbacher
877,Kolln
878,Bukowsky
879,Bukowsky
880,Comdet
881,Engineer
882,Riley
883,Shea
884,Chell
885,Morrison
886,Mark
887,Vernon
888,Goonan
889,Walters
890,Grove
891,Mitchell
892,Taylor
893,Hayes
894,Chachra
895,Hayes
896,Agresti
897,Merritt
898,Goonan
899,Engineer
900,Davisson
901,CFH
902,Chachra
903,Mahlers2nd
904,Robert
905,Kolln
906,Riley
907,Engineer
908,Merritt
909,CFH
910,Mahlers2nd
911,Chachra
912,Lee
913,Walters
914,Taylor
915,Blankenship
916,Ashbacher
917,CFH
918,Walters
919,Goonan
920,Brown
921,Chachra
922,Brown
923,Mark
924,Wilson
925,Peterson
926,Taylor
927,Cholette
928,Grove
929,Chachra
930,Morrison
931,McKee
932,McKee
933,Corn
934,Goonan
935,Johnson
936,Janson
937,Harp
938,Cutey
939,Riley
940,Koenig
941,McKee
942,Robert
943,Goonan
944,Grove
945,Lawyeraau
946,Agresti
947,Bukowsky
948,Robert
949,Power
950,Vernon
951,Davisson
952,Power
953,Chandler
954,Taylor
955,Lee
956,Blankenship
957,Robert
958,Wilson
959,Mitchell
960,Dent
961,Bukowsky
962,Taylor
963,Messick
964,Goonan
965,Robert
966,Cutey
967,Shea
968,Cholette
969,Janson
970,Davisson
971,Johnson
972,Bukowsky
973,Riley
974,Agresti
975,Johnson
976,Harp
977,Blankenship
978,Harp
979,CFH
980,Goonan
981,Engineer
982,CFH
983,Comdet
984,Peterson
985,Chandler
986,Kolln
987,Lawyeraau
988,Mitchell
989,Power
990,Robert
991,Wilson
992,Dent
993,Ashbacher
994,Mark
995,Hayes
996,Agresti
997,Power
998,Chell
999,CFH
1000,Taylor
1001,Blankenship
1002,Hayes
1003,Chachra
1004,Bukowsky
1005,Calvinnme
1006,Kolln
1007,Mark
1008,Corn
1009,Taylor
1010,Mitchell
1011,Chachra
1012,Merritt
1013,Lawyeraau
1014,Grove
1015,Ashbacher
1016,Harp
1017,Brody
1018,Merritt
1019,CFH
1020,Chachra
1021,McKee
1022,Dent
1023,Koenig
1024,Cutey
1025,Harp
1026,Neal
1027,Nigam
1028,Koenig
1029,Lee
1030,Shea
1031,Lawyeraau
1032,Mahlers2nd
1033,Bukowsky
1034,Chachra
1035,Johnson
1036,Mitchell
1037,Sherwin
1038,Ashbacher
1039,Hayes
1040,Taylor
1041,Johnson
1042,Auken
1043,Engineer
1044,Engineer
1045,Lovitt
1046,Koenig
1047,Morrison
1048,Janson
1049,Neal
1050,Goonan
1051,Engineer
1052,Lovitt
1053,Engineer
1054,Power
1055,Chachra
1056,Engineer
1057,Ashbacher
1058,Harp
1059,Taylor
1060,Davisson
1061,Wilson
1062,Chachra
1063,Vernon
1064,Harp
1065,Corn
1066,Morrison
1067,Lee
1068,Cutey
1069,Mark
1070,Walters
1071,Ashbacher
1072,Dent
1073,Blankenship
1074,Chachra
1075,Merritt
1076,Shea
1077,Chachra
1078,Calvinnme
1079,Bukowsky
1080,Agresti
1081,Morrison
1082,Blankenship
1083,Vernon
1084,Neal
1085,Mitchell
1086,Chachra
1087,Wilson
1088,Harp
1089,Agresti
1090,Dent
1091,Lee
1092,Kolln
1093,Mahlers2nd
1094,Ashbacher
1095,Walters
1096,Peterson
1097,Nigam
1098,Cholette
1099,Brody
1100,Chachra
1101,Power
1102,Mark
1103,Comdet
1104,Messick
1105,Merritt
1106,Cutey
1107,Shea
1108,Walters
1109,Power
1110,Dent
1111,Cutey
1112,Corn
1113,Auken
1114,Hayes
1115,Neal
1116,CFH
1117,Brown
1118,Hayes
1119,Sherwin
1120,Walters
1121,Bukowsky
1122,McKee
1123,Walters
1124,Mahlers2nd
1125,Vernon
1126,Chachra
1127,Chachra
1128,Janson
1129,Johnson
1130,Peterson
1131,Blankenship
1132,Davisson
1133,Chachra
1134,Koenig
1135,Comdet
1136,Brody
1137,Mitchell
1138,Koenig
1139,Corn
1140,Vision
1141,Merritt
1142,Goonan
1143,Mark
1144,Grove
1145,Harp
1146,Vision
1147,Koenig
1148,Mitchell
1149,Peterson
1150,Merritt
1151,Blankenship
1152,Neal
1153,Peterson
1154,Messick
1155,Shea
1156,Sherwin
1157,Lovitt
1158,Goonan
1159,Ashbacher
1160,Vernon
1161,Cutey
1162,Calvinnme
1163,Chachra
1164,Neal
1165,Johnson
1166,Shea
1167,Johnson
1168,Goonan
1169,Bukowsky
1170,Mitchell
1171,Merritt
1172,Agresti
1173,Chachra
1174,Shea
1175,Power
1176,Robert
1177,Kolln
1178,Walters
1179,Mitchell
1180,Lovitt
1181,Taylor
1182,Mitchell
1183,Comdet
1184,Mitchell
1185,McKee
1186,Lovitt
1187,Morrison
1188,Auken
1189,Chandler
1190,Agresti
1191,Chachra
1192,CFH
1193,Morrison
1194,Vernon
1195,Corn
1196,Hayes
1197,Walters
1198,Davisson
1199,Nigam
1200,Shea
1201,Grove
1202,Mitchell
1203,Harp
1204,Messick
1205,McKee
1206,Chandler
1207,Koenig
1208,Brody
1209,Lovitt
1210,Comdet
1211,Wilson
1212,Cholette
1213,Cutey
1214,Vernon
1215,Brown
1216,Chell
1217,Mitchell
1218,Neal
1219,Peterson
1220,Riley
1221,Agresti
1222,Koenig
1223,Agresti
1224,Ashbacher
1225,Lee
1226,Power
1227,Brody
1228,McKee
1229,Cholette
1230,Robert
1231,Power
1232,Harp
1233,Brown
1234,Riley
1235,Riley
1236,Sherwin
1237,Lawyeraau
1238,Power
1239,Engineer
1240,McKee
1241,Comdet
1242,Chell
1243,Mahlers2nd
1244,Agresti
1245,Janson
1246,Chachra
1247,Ashbacher
1248,Goonan
1249,Taylor
1250,Hayes
1251,Wilson
1252,Lee
1253,Johnson
1254,Calvinnme
1255,Brody
1256,Sherwin
1257,Nigam
1258,Mahlers2nd
1259,Calvinnme
1260,Corn
1261,Hayes
1262,Walters
1263,Cutey
1264,Riley
1265,Chachra
1266,Power
1267,Wilson
1268,Lovitt
1269,Cholette
1270,Wilson
1271,Brown
1272,Mitchell
1273,Peterson
1274,Chandler
1275,Cholette
1276,Vernon
1277,Peterson
1278,Blankenship
1279,Cutey
1280,Neal
1281,Ashbacher
1282,Ashbacher
1283,Chachra
1284,Shea
1285,Grove
1286,Auken
1287,Hayes
1288,Vernon
1289,Johnson
1290,Johnson
1291,Vernon
1292,Kolln
1293,Auken
1294,Brown
1295,Grove
1296,Taylor
1297,Chachra
1298,Shea
1299,Agresti
1300,Chandler
1301,Merritt
1302,Mark
1303,Grove
1304,Janson
1305,Blankenship
1306,Cholette
1307,Chell
1308,Kolln
1309,Riley
1310,Blankenship
1311,Peterson
1312,Chell
1313,McKee
1314,Mark
1315,Lawyeraau
1316,Robert
1317,CFH
1318,Brody
1319,Messick
1320,Cutey
1321,Bukowsky
1322,Lawyeraau
1323,Messick
1324,Wilson
1325,Bukowsky
1326,Wilson
1327,Cutey
1328,McKee
1329,Chandler
1330,Auken
1331,McKee
1332,Shea
1333,Neal
1334,Johnson
1335,Janson
1336,Cholette
1337,Hayes
1338,Comdet
1339,Hayes
1340,Chachra
1341,Calvinnme
1342,Koenig
1343,Auken
1344,Shea
1345,Morrison
1346,Mahlers2nd
1347,Dent
1348,Peterson
1349,Chell
1350,Chachra
1351,Agresti
1352,McKee
1353,Taylor
1354,Auken
1355,Lee
1356,Mark
1357,Riley
1358,Lee
1359,Cutey
1360,Blankenship
1361,Agresti
1362,Chachra
1363,Corn
1364,Merritt
1365,Ashbacher
1366,Davisson
1367,Mitchell
1368,Brody
1369,Wilson
1370,Mahlers2nd
1371,Brody
1372,Peterson
1373,Engineer
1374,Mark
1375,Hayes
1376,Cutey
1377,Power
1378,Koenig
1379,Cutey
1380,Kolln
1381,Messick
1382,McKee
1383,CFH
1384,Corn
1385,Lovitt
1386,Cholette
1387,Chell
1388,Chachra
1389,Chachra
1390,Chell
1391,Kolln
1392,Engineer
1393,Brody
1394,Morrison
1395,Chachra
1396,Corn
1397,Merritt
1398,Goonan
1399,Morrison
1400,Bukowsky
1401,Janson
1402,Cholette
1403,CFH
1404,Mark
1405,Shea
1406,Engineer
1407,Sherwin
1408,Chachra
1409,Comdet
1410,Nigam
1411,Lovitt
1412,Brody
1413,Chachra
1414,Shea
1415,Janson
1416,Riley
1417,Walters
1418,Engineer
1419,Ashbacher
1420,Harp
1421,Vernon
1422,Bukowsky
1423,Messick
1424,Chandler
1425,Robert
1426,Cutey
1427,Messick
1428,McKee
1429,Davisson
1430,Robert
1431,Vision
1432,Chell
1433,Kolln
1434,Power
1435,Dent
1436,Sherwin
1437,Sherwin
1438,Bukowsky
1439,Chell
1440,CFH
1441,Bukowsky
1442,Comdet
1443,Johnson
1444,Chachra
1445,Bukowsky
1446,Vernon
1447,Peterson
1448,Brody
1449,Engineer
1450,Kolln
1451,Lovitt
1452,Calvinnme
1453,Johnson
1454,Corn
1455,Peterson
1456,Sherwin
1457,Dent
1458,Johnson
1459,Grove
1460,Engineer
1461,Mark
1462,Peterson
1463,Morrison
1464,Cutey
1465,Riley
1466,Robert
1467,Davisson
1468,Cutey
1469,Kolln
1470,Lawyeraau
1471,Morrison
1472,Sherwin
1473,Ashbacher
1474,Hayes
1475,Merritt
1476,Johnson
1477,Nigam
1478,Koenig
1479,Chell
1480,Chachra
1481,Engineer
1482,Chell
1483,Cholette
1484,Bukowsky
1485,Brody
1486,Robert
1487,Chell
1488,Johnson
1489,Comdet
1490,Calvinnme
1491,Goonan
1492,Lovitt
1493,Davisson
1494,McKee
1495,Cholette
1496,Agresti
1497,Lawyeraau
1498,Grove
1499,Janson
